name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Polycheles_aculeatus	NA	NA	NA	288636	NA	NA	NA	288635	NA	NA	NA	125909	115586	NA	526239	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Polycheles_baccatus	NA	NA	NA	288637	NA	NA	NA	288635	NA	NA	NA	125909	115586	NA	526239	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Polycheles_suhmi	NA	NA	NA	288638	NA	NA	NA	288635	NA	NA	NA	125909	115586	NA	526239	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Polycheles_sculptus	NA	NA	NA	512013	NA	NA	NA	288635	NA	NA	NA	125909	115586	NA	526239	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Polycheles_typhlops	NA	NA	NA	512014	NA	NA	NA	288635	NA	NA	NA	125909	115586	NA	526239	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Polycheles_amemiyai	NA	NA	NA	516897	NA	NA	NA	288635	NA	NA	NA	125909	115586	NA	526239	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Polycheles_enthrix	NA	NA	NA	578592	NA	NA	NA	288635	NA	NA	NA	125909	115586	NA	526239	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Stereomastis_nana	NA	NA	NA	1129396	NA	NA	NA	1129394	NA	NA	NA	98081	115585	NA	6694	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Astacus_astacus	NA	NA	NA	6715	NA	NA	NA	6714	NA	NA	NA	6713	6724	NA	6712	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Pacifastacus_leniusculus	NA	NA	NA	6720	NA	NA	NA	6719	NA	NA	NA	6713	6724	NA	6712	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Pacifastacus_connectens	NA	NA	NA	1212505	NA	NA	NA	6719	NA	NA	NA	6713	6724	NA	6712	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
Pontastacus_leptodactylus	NA	NA	NA	6717	NA	NA	NA	41402	NA	NA	NA	6713	6724	NA	6712	6692	6683	6682	NA	72041	6681	NA	6657	6656	NA	NA	33208	2759
